Wine Name,Grape,Popularity,Score,Avg Price(nzd)
"Mohua Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,12413,87,20
"Pyramid Valley Vineyards 'Angel Flower' Pinot Noir,Canterbury, NZ",Pinot Noir,12476,91,109
"The Ned Pinot Gris, Marlborough, NZ",Pinot Gris,12670,88,18
"Wild Rock Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,12736,88,20
"Babich Wines Pinot Noir, Marlborough, NZ",Pinot Noir,12807,86,27
"Trinity Hill 'The Gimblett', Gimblett Gravels, NZ",Bordeaux Blend,12807,90,39
"Nanny Goat Vineyard Pinot Noir, Central Otago, NZ",Pinot Noir,12950,89,33
"Prophet's Rock 'Cuvee Aux Antipodes' Pinot Noir, Central Otago, NZ",Pinot Noir,13025,92,164
"Pyramid Valley Vineyards 'Earth Smoke' Pinot Noir,Canterbury, NZ",Pinot Noir,13025,91,109
"Clos Henri Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,13088,91,39
"Brancott Estate Pinot Noir, South Island, NZ",Pinot Noir,13151,86,18
"Greystone Wines Pinot Noir, Waipara, NZ",Pinot Noir,13220,90,41
"Felton Road Block 2 Chardonnay, Bannockburn, NZ",Chardonnay,13299,92,74
"Hunter's Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,13299,87,21
"Sato L'Insolite Pinot Noir, Central Otago, NZ",Pinot Noir,13299,92,82
"Tohu Wines Sauvignon Blanc, Awatere Valley, NZ",Sauvignon Blanc,13377,88,23
"Spy Valley Pinot Noir, Marlborough, NZ",Pinot Noir,13377,88,33
"Lindauer Brut Cuvee, NZ",Brut,13463,85,14
"The Crossings Sauvignon Blanc, Awatere Valley, NZ",Sauvignon Blanc,13615,86,18
"Starborough Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,13615,86,18
"Valli Waitaki Vineyard Pinot Noir, North Otago, NZ",Pinot Noir,13672,92,68
"Akarua Pinot Noir, Bannockburn, NZ",Pinot Noir,13745,90,37
"Villa Maria Cellar Selection Sauvignon Blanc, Marlborough,NZ",Sauvignon Blanc,13745,89,20
"Mt. Difficulty Roaring Meg Pinot Noir, Central Otago, NZ",Pinot Noir,13745,87,29
"Te Pa Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,13906,87,23
"Te Mata Estate Vineyards Merlot - Cabernet, Hawke's Bay,NZ",Bordeaux Blend,14056,88,23
"Pegasus Bay Riesling, Waipara, NZ",Riesling,14291,90,35
"Little Beauty Limited Edition Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,14291,87,43
"Akarua Rua Pinot Noir, Central Otago, NZ",Pinot Noir,14365,88,23
"Lobster Reef Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,14365,86,18
"Valli Wines Bannockburn Vineyard Pinot Noir, Bannockburn,NZ",Pinot Noir,14469,92,68
"Isabel Estate Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,14469,89,29
"Stoneburn Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,14554,87,18
"Maude Pinot Noir, Central Otago, NZ",Pinot Noir,14724,90,35
"Kirkland Signature Ti Point Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,14806,86,14
"Dry River Chardonnay, Martinborough, NZ",Chardonnay,14901,92,72
"Baby Doll Sauvignon Blanc, Marlborough, NZ",Sauvignon Blanc,15003,86,16
"Palliser Estate Sauvignon Blanc, Martinborough, NZ",Sauvignon Blanc,15178,89,31
